FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G,Region4G
0,29074.52355,16,0.003921569,0.003921569,0.003921569,0.003921569,0.003921569
1,29074.52906,18,0.019539551,0.02502448,0.121529096,0.075270155,0.003921569
2,29074.53462,20,0.013306542,0.019540971,0.369070209,0.468811779,0.012511671
3,29074.54019,17,0.029951539,0.027271859,0.135839658,0.072452248,0.003921569
4,29074.54573,18,0.019389832,0.02491223,0.119510331,0.074830073,0.003921569
5,29074.5513,20,0.013078024,0.019326025,0.363251107,0.461010115,0.011951447
6,29074.55683,17,0.029494504,0.027236034,0.132076218,0.072244879,0.003921569
7,29074.5624,18,0.019203341,0.024917007,0.117438857,0.074567406,0.003921569
8,29074.56794,20,0.013014985,0.019206611,0.361121653,0.458521693,0.011951447
9,29074.5735,17,0.029229213,0.027209763,0.129477651,0.07178406,0.003921569
10,29074.57907,18,0.019022103,0.024788039,0.11597354,0.074313956,0.003921569
11,29074.58461,20,0.013054385,0.019130186,0.360109635,0.457159973,0.012511671
12,29074.59018,17,0.028956043,0.027109455,0.126886991,0.071270247,0.003921569
13,29074.59571,18,0.018830359,0.024761768,0.114242041,0.073751757,0.003921569
14,29074.60128,20,0.013033371,0.019072867,0.359716951,0.456348932,0.012138189
15,29074.60682,17,0.028832591,0.02694944,0.124617858,0.070424645,0.003921569
16,29074.61238,18,0.0186964,0.024771321,0.11304027,0.073060529,0.003921569
17,29074.61792,20,0.013057011,0.019060925,0.358950032,0.455793645,0.012138189
18,29074.62349,17,0.028451729,0.026925557,0.122151065,0.069751849,0.003921569
19,29074.62906,18,0.018649121,0.024616083,0.111688277,0.0727633,0.003921569
20,29074.63459,20,0.012946692,0.019029877,0.359102888,0.455625446,0.011577965
21,29074.64016,17,0.028323024,0.026746435,0.120322054,0.069479966,0.003921569
22,29074.6457,18,0.01845475,0.024549211,0.110388994,0.072403862,0.003921569
23,29074.65126,20,0.012983465,0.019013159,0.35854417,0.455505634,0.012138189
24,29074.6568,17,0.028118146,0.026751212,0.118464052,0.069118223,0.003921569
25,29074.66237,18,0.018291898,0.024456067,0.10945604,0.072131979,0.003921569
26,29074.6679,20,0.012938812,0.019041819,0.358507274,0.455051727,0.011951447
27,29074.67347,17,0.027900135,0.026665234,0.117162134,0.068841732,0.003921569
28,29074.67904,18,0.018160566,0.024568317,0.108546806,0.07178406,0.003921569
29,29074.68458,20,0.012949319,0.019003606,0.358272718,0.454848967,0.01232493
30,29074.69014,17,0.02777931,0.026746435,0.115454354,0.068374001,0.003921569
31,29074.69568,18,0.01816582,0.024458456,0.107389838,0.071214949,0.003921569
32,29074.70125,20,0.013025492,0.018979723,0.358349146,0.45443423,0.011577965
33,29074.70678,17,0.027676871,0.026674787,0.113625343,0.067719638,0.003921569
34,29074.71235,18,0.01785325,0.024274558,0.105919249,0.070726481,0.003921569
35,29074.71792,20,0.012965079,0.019020324,0.357922201,0.454422709,0.011764706
36,29074.72346,17,0.027256609,0.026631798,0.111748893,0.067254211,0.003921569
37,29074.72902,18,0.017840117,0.024322323,0.104849252,0.070233405,0.003921569
38,29074.73456,20,0.012957199,0.018989277,0.35799863,0.454427317,0.012511671
39,29074.74013,17,0.027296009,0.026450288,0.110518132,0.066825649,0.003921569
40,29074.74566,18,0.01783749,0.024245898,0.104032258,0.069869358,0.003921569
41,29074.75123,20,0.012941439,0.019008383,0.357995994,0.454489528,0.01232493
42,29074.75677,17,0.027077998,0.026529101,0.109374341,0.066436257,0.003921569
43,29074.76234,18,0.017598466,0.024322323,0.10353152,0.069652773,0.003921569
44,29074.7679,20,0.013033371,0.019041819,0.358077693,0.454422709,0.011951447
45,29074.77344,17,0.027014959,0.026498054,0.108768185,0.066254234,0.003921569
46,29074.77901,18,0.017608973,0.024104989,0.102841029,0.069277206,0.003921569
47,29074.78454,20,0.012965079,0.018965394,0.357977546,0.454252206,0.012138189
48,29074.79011,17,0.026983439,0.026400134,0.10820156,0.065890187,0.003921569
49,29074.79568,18,0.017622106,0.024162308,0.102271769,0.068952328,0.003921569
50,29074.80122,20,0.012978212,0.01899883,0.358059245,0.454185387,0.012885154
51,29074.80678,17,0.026970306,0.026452676,0.107595404,0.065721988,0.003921569
52,29074.81232,18,0.017527547,0.024143202,0.101918617,0.068680445,0.003921569
53,29074.81789,20,0.012949319,0.018996441,0.357880034,0.454125481,0.011764706
54,29074.82342,17,0.026757548,0.026431181,0.106177525,0.065351029,0.003921569
55,29074.82899,18,0.017417228,0.024109766,0.101001476,0.068410866,0.003921569
56,29074.83453,20,0.012959826,0.018939123,0.357685009,0.454109352,0.011764706
57,29074.8401,17,0.026773308,0.026352368,0.105613536,0.065074537,0.003921569
58,29074.84566,18,0.017270136,0.024059612,0.10014495,0.06821041,0.003921569
59,29074.8512,20,0.012988719,0.019013159,0.357613852,0.453927329,0.011951447
60,29074.85677,17,0.026710269,0.026459841,0.104224647,0.064751964,0.003921569
61,29074.8623,18,0.017196591,0.023973633,0.099222538,0.067970784,0.003921569
62,29074.86787,20,0.012912546,0.019056149,0.357706093,0.454070183,0.011951447
63,29074.87341,17,0.026526404,0.026275943,0.103860953,0.064526163,0.003921569
64,29074.87898,18,0.017109912,0.023956915,0.098806135,0.067429322,0.003921569
65,29074.88451,20,0.012965079,0.019013159,0.357511069,0.453842077,0.011577965
66,29074.89008,17,0.026439725,0.026230565,0.103009699,0.064268104,0.003921569
67,29074.89565,18,0.017025859,0.023973633,0.098115644,0.067314117,0.003921569
68,29074.90118,20,0.012988719,0.018953452,0.357218533,0.453051773,0.011764706
69,29074.90675,17,0.026332033,0.026166082,0.102696078,0.064328011,0.003921569
70,29074.91229,18,0.017096778,0.023873325,0.098026038,0.067074491,0.003921569
71,29074.91786,20,0.012938812,0.018931958,0.357711364,0.453913504,0.011764706
72,29074.92342,17,0.026444979,0.026187576,0.102385094,0.064247368,0.003921569
73,29074.92896,18,0.016973327,0.023875714,0.097707147,0.067037626,0.003921569
74,29074.93453,20,0.012986092,0.01891524,0.357653384,0.454058662,0.011764706
75,29074.94006,17,0.026353046,0.026161305,0.101763125,0.063899449,0.003921569
76,29074.94563,18,0.01700222,0.023813618,0.097430424,0.066639018,0.003921569
77,29074.95117,20,0.012959826,0.01897017,0.357566414,0.454056358,0.011951447
78,29074.95674,17,0.026355673,0.026106374,0.101317731,0.063330338,0.003921569
79,29074.96227,18,0.016910287,0.023758687,0.097377715,0.06615055,0.003921569
80,29074.96784,20,0.012860013,0.018920016,0.357669197,0.45396189,0.012138189
81,29074.97341,17,0.02630314,0.026022784,0.101449505,0.062894864,0.003921569
82,29074.97894,18,0.016949687,0.023624943,0.097201139,0.065708163,0.003921569
83,29074.98451,20,0.01285476,0.018929569,0.35757432,0.453869727,0.012138189
84,29074.99005,17,0.026226968,0.026003678,0.10096985,0.062747402,0.003921569
85,29074.99562,18,0.01696282,0.023675097,0.096832174,0.065579134,0.003921569
86,29075.00115,20,0.012933559,0.018979723,0.357310774,0.453938849,0.011764706
87,29075.00672,17,0.026208581,0.026015619,0.100801181,0.06254925,0.003921569
88,29075.01226,18,0.016870888,0.023701368,0.09655545,0.065629824,0.003921569
89,29075.01782,20,0.013020238,0.018903298,0.357634936,0.453908896,0.011951447
90,29075.02339,17,0.026090383,0.025989348,0.100801181,0.06234649,0.003921569
91,29075.02893,18,0.016873514,0.02364405,0.096652962,0.065420152,0.003921569
92,29075.0345,20,0.012936186,0.018996441,0.357621758,0.453749914,0.011577965
93,29075.04003,17,0.026240101,0.025941582,0.100258275,0.062139121,0.003921569
94,29075.0456,18,0.016797342,0.023605837,0.096207569,0.065198959,0.003921569
95,29075.05114,20,0.012925679,0.018893745,0.357787793,0.454247598,0.011764706
96,29075.0567,17,0.026040476,0.025984572,0.099868227,0.061775074,0.003921569
97,29075.06224,18,0.016671263,0.023622555,0.095767447,0.065090666,0.003921569
98,29075.06781,20,0.012938812,0.018850756,0.357368754,0.453710744,0.011951447
99,29075.07341,17,0.025969557,0.025941582,0.099130297,0.061775074,0.003921569
100,29075.07891,18,0.01668177,0.023558071,0.095438014,0.065053801,0.003921569
101,29075.08448,20,0.01287052,0.018948676,0.357503163,0.453724569,0.011577965
102,29075.09002,17,0.026093009,0.025970242,0.098943179,0.061839589,0.003921569
103,29075.09558,18,0.01665025,0.023476869,0.095419566,0.064906339,0.003921569
104,29075.10112,20,0.0128784,0.018936734,0.35728969,0.453805212,0.01232493
105,29075.10669,17,0.026043103,0.026008455,0.099283154,0.061788899,0.003921569
106,29075.11226,18,0.016797342,0.023586731,0.095306241,0.06490173,0.003921569
107,29075.11779,20,0.012936186,0.019048984,0.35745836,0.453844381,0.011764706
108,29075.12339,17,0.025993197,0.025836498,0.099399114,0.061583834,0.003921569
109,29075.1289,18,0.01665813,0.023519859,0.095100675,0.064719707,0.003921569
110,29075.13446,20,0.012962452,0.0189845,0.357223803,0.453648533,0.011951447
111,29075.14,17,0.026074623,0.025927253,0.099183007,0.061404115,0.003921569
112,29075.14557,18,0.01663449,0.023646438,0.094850306,0.064533075,0.003921569
113,29075.1511,20,0.012962452,0.018917628,0.357450453,0.453623188,0.012698413
114,29075.15667,17,0.025940664,0.025815003,0.098186802,0.061162185,0.003921569
115,29075.16224,18,0.016592464,0.02346254,0.094141366,0.064228935,0.003921569
116,29075.16778,20,0.012949319,0.01890091,0.357471537,0.453694615,0.011391223
117,29075.17334,17,0.025851359,0.02581978,0.097791482,0.060705975,0.003921569
118,29075.17888,18,0.016476892,0.023390891,0.093827746,0.063975484,0.003921569
119,29075.18445,20,0.012915173,0.018934346,0.357489985,0.453690007,0.011764706
120,29075.18998,17,0.026011583,0.025774402,0.097904807,0.060634548,0.003921569
121,29075.19555,18,0.016471639,0.023565236,0.093956884,0.06416442,0.003921569
122,29075.20109,20,0.012873147,0.01891524,0.357392473,0.453802908,0.012138189
123,29075.20666,17,0.025780439,0.025877099,0.097701876,0.060447916,0.003921569
124,29075.21222,18,0.016458506,0.023388503,0.093543116,0.063966268,0.003921569
125,29075.21776,20,0.012965079,0.018896133,0.357497892,0.453948066,0.01232493
126,29075.22333,17,0.025914398,0.025709919,0.097960152,0.060491694,0.003921569
127,29075.22886,18,0.016490025,0.023338349,0.093458781,0.063890233,0.003921569
128,29075.23443,20,0.012975585,0.018931958,0.35751634,0.453706136,0.011764706
129,29075.23997,17,0.025956424,0.025733801,0.097741408,0.060404138,0.003921569
