Observation id,12_28_37_GRABoxt_Mating_Behavior,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,,,,,,,
Player #1,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,,,,,,,
Player #1,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,,,,,,,
,,,,,,,,
Observation date,2022-02-16 11:04:35,,,,,,,
,,,,,,,,
Description,video1_2022-01-29T12_28_37,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
0.200,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
1.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
3.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
7.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
7.533,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
7.967,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
8.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
9.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
9.467,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
10.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
14.500,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
21.333,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
21.567,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,STOP
21.600,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
25.900,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
26.800,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
27.400,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
27.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
28.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
29.167,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
29.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
36.000,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
36.033,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
39.833,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,START
40.133,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,g,,,STOP
40.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,m,,,POINT
41.533,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,START
43.533,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,i,,,STOP
44.433,C:/Users/anmc9115/Desktop/Mating_Videos/video1_2022-01-29T12_28_37.avi,5323.800,30.0,,s,,,START
